[2021/2/22 - 18:35:51] AdmCmd: Miles Nguyen (IP:27.68.163.180) was kick boi Albus Dumbledore, ly do: leu leu
[2021/2/22 - 18:41:39] AdmCmd: Albus Dumbledore (IP:125.235.227.42) was kick boi Miles Nguyen, ly do: !
[2021/2/23 - 2:01:37] AdmCmd: John vjppro (IP:125.235.227.42) was kick boi John vjppro, ly do: qq
[2021/2/26 - 4:24:39] AdmCmd: PhonG Dep Trai (IP:125.235.238.200) was kick boi Miles Nguyen, ly do: pha?
[2021/2/26 - 6:36:57] AdmCmd: Candy Banana (IP:59.153.233.29) was kick boi Matthus Zeus, ly do: rp2
[2021/2/26 - 7:23:13] AdmCmd: Rabbit BAPE (IP:125.235.233.150) was kick boi Peww Peww, ly do: bug xe shop
[2021/2/27 - 12:10:54] AdmCmd: Albus Dumbledore (IP:42.119.192.193) was kick boi Thinhh Van, ly do: tin
[2021/7/21 - 19:05:45] AdmCmd: Johnny Dog (IP:14.228.209.32) was kick boi George Reginald, ly do: relog di
[2021/7/22 - 2:56:20] AdmCmd: An Gold (IP:115.73.175.194) was kick boi Miles Nguyen, ly do: bug xe
[2021/7/22 - 6:45:49] AdmCmd: An Gold (IP:115.73.175.194) was kick boi George Reginald, ly do: thieu y thuc
[2021/7/24 - 8:33:17] AdmCmd: Johnny Dog (IP:14.176.9.153) was kick boi Miles, ly do: afk
[2021/7/24 - 11:36:23] AdmCmd: Miles (IP:171.244.104.78) was kick boi Miles, ly do: relog
[2021/7/24 - 12:29:13] AdmCmd: Miles (IP:171.244.104.78) was kick boi Miles, ly do: relog
[2021/7/24 - 19:47:54] AdmCmd: Johnny Dog (IP:14.176.9.153) was kick boi miles, ly do: pha
[2021/8/3 - 8:37:29] AdmCmd: Nguyen Tri Manh (IP:14.250.170.213) was kick boi Nguyen Tri Manh, ly do: test
[2021/8/3 - 14:16:56] AdmCmd: anh sanji (IP:171.252.154.219) was silent kicked boi LSG RP, ly do: Relog
[2021/8/3 - 17:04:37] AdmCmd: Ezio Desatan (IP:14.236.231.141) was kick boi Nguyen Tri Manh, ly do: .
[2021/8/3 - 17:12:40] AdmCmd: Ezio Desatan (IP:14.236.231.141) was kick boi Nguyen Tri Manh, ly do: lam dung faction
[2021/8/3 - 18:13:34] AdmCmd: Nguyen Tri Manh (IP:14.250.170.213) was kick boi Nguyen Tri Manh, ly do: test
[2021/8/3 - 20:22:38] AdmCmd: Ezio Desatan (IP:14.236.231.141) was kick boi Nguyen Tri Manh, ly do: lam dung
[2021/8/6 - 13:43:24] AdmCmd: LSA kietgia (IP:14.250.112.16) was kick boi LSG RP, ly do: Cr
[2021/8/6 - 14:23:48] AdmCmd: LSA kietgia (IP:14.250.112.16) was silent kicked boi LSG RP, ly do: Hacking Anti
[2021/8/6 - 15:05:15] AdmCmd: LSA kietgia (IP:14.250.112.16) was silent kicked boi LSG RP, ly do: Cleo F4 - Anti
[2021/8/7 - 19:52:07] AdmCmd: ditme smhobber (IP:123.23.154.234) was kick boi Huy 2k8, ly do: Nonrp Name
[2021/8/7 - 19:56:03] AdmCmd: dattheoten Dumtao (IP:123.23.154.234) was kick boi Huy 2k8, ly do: Nonrp name
[2021/8/8 - 11:48:18] AdmCmd: Charlie Nguyen (IP:115.73.68.51) was kick boi Chiu Linh, ly do: CR
[2021/8/8 - 16:20:16] AdmCmd: Ezio Desatan (IP:14.236.98.222) was kick boi Nguyen Tri Manh, ly do: Lam dung fac
[2021/8/8 - 19:50:41] AdmCmd: Long Nani (IP:113.180.171.22) was kick boi Huy 2k8, ly do: Relog
[2021/8/8 - 20:59:21] AdmCmd: Shen Smith (IP:115.72.113.76) was kick boi Chiu Linh, ly do: CR
